Annexure II-  CNX Nifty Jr. Index : October 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Sep 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct 2012
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4817.74,1.61,0.43,0.03,1.99,5.05,0.2
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4673.63,1.56,1.78,0.31,2.36,-0.91,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6639.25,2.22,0.63,0.16,1.17,-3.26,0.11
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742921211,6790.57,2.27,0.53,0.06,1.58,-2.85,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,7616.06,2.54,1.12,0.24,1.69,10.77,0.09
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6497.78,2.17,-0.01,0,2.53,-7.66,0.09
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,8296.91,2.77,1.28,0.5,1.33,8.42,0.08
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8378,2.8,-0.12,0.02,0.58,1.21,0.11
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270692303,5999.01,2,1.44,0.19,2.46,1.75,0.1
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2229.54,0.74,2.5,0.43,2.81,-19.15,0.13
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,7640.73,2.55,0.23,0.01,1.64,7.84,0.12
24,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7259.42,2.42,0.39,0.05,1.22,1.18,0.14
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4944.99,1.65,1,0.39,1.18,-2.99,0.07
26,IDBI,IDBI Bank Ltd.,BANKS,12783681060,3186.44,1.06,1.75,0.68,1.57,-7.25,0.08
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33104691560,6840.16,2.28,-0.02,0,1.79,0.35,0.08
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,3175.24,1.06,1.53,0.33,1.98,-6.46,0.1
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4694003330,12722.89,4.25,1.16,0.52,1.19,2.48,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7736.26,2.58,0.59,0.09,1.46,-2.44,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7321.17,2.44,0.46,0.05,1.53,-13.75,0.06
32,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,10699.29,3.57,1.21,0.07,3.4,-3.32,0.06
33,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101042170,2840.85,0.95,0.36,0.02,1.75,-3.81,0.1
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419970645,4785.42,1.6,0.45,0.09,1.11,-3.62,0.1
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5046,1.68,0.33,0.05,1.08,6.49,0.08
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200068830,6429.6,2.15,2.53,0.59,2.43,-1.91,0.09
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,3581.92,1.2,1.49,0.24,2.26,-16.67,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7060.3,2.36,1.85,0.35,2.32,-1.33,0.1
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4302.69,1.44,1.92,0.39,2.28,-11.47,0.07
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,5077.63,1.7,2.19,0.59,2.11,-5.86,0.1
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4701.34,1.57,0.69,0.31,0.9,-6.09,0.07
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2263540680,7612.02,2.54,0.49,0.1,1.18,0.86,0.09
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5557.83,1.86,0.53,0.21,0.86,-1.37,0.07
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1276149210,3536.49,1.18,0.3,0.01,1.98,-2.43,0.07
45,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10807.06,3.61,1.22,0.25,1.81,-0.71,0.09
46,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2598.42,0.87,0.3,0.05,0.96,-12.6,0.13
47,UNIONBANK,Union Bank of India,BANKS,5505490350,4404.43,1.47,2.18,0.52,2.23,-5.87,0.09
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,3776.4,1.26,0.36,0.03,1.45,-13.33,0.09
49,YESBANK,Yes Bank Ltd.,BANKS,3553626990,10814.94,3.61,1.27,0.27,1.82,7.73,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,955116027,10148.37,3.39,1.96,0.37,2.37,-3.1,0.11
,,,,,299485.9,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2011 to 31-Oct-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2012 to 31-Oct-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
