Annexure II- S&P CNX Nifty Index : May 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2010
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,13011286920,16007.57,1.73,1.36,0.46,2.77,-0.35,0.09
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4249269266,14298.38,0.31,1.82,0.62,2.76,-0.77,0.09
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,931486088,25227.45,0.27,1.18,0.4,2.87,-0.57,0.09
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3481652020,13084.71,1.41,1.37,0.57,2.66,0.16,0.09
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1205328528,86168.25,1.86,1.1,0.59,2.2,0.07,0.08
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2892172390,24400.74,1.31,1.22,0.43,2.72,0.44,0.09
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16362.49,0.88,0.78,0.27,1.39,-0.15,0.06
29,NTPC,NTPC Ltd.,POWER,82454644000,25856.06,2.79,0.63,0.34,1.45,-0.11,0.06
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,39380.8,4.24,0.72,0.27,2.63,0.52,0.07
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,5928.74,0.64,0.7,0.35,1.35,-0.29,0.07
32,PNB,Punjab National Bank,BANKS,3153025000,13339.38,1.44,0.84,0.38,1.79,-0.16,0.08
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2103341010,6527.12,0.35,0.81,0.23,2.1,-0.12,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,7400.61,0.8,1.54,0.61,2.61,-0.55,0.08
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9698.69,0.52,1.3,0.39,3.75,-0.51,0.1
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32867018930,176855.11,19.06,1.08,0.53,1.98,0.07,0.08
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2252702620,13770.56,1.48,1.48,0.54,3.49,-0.24,0.09
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,5701.83,0.61,1.1,0.45,3.51,-0.13,0.1
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,10549.63,0.23,1.27,0.56,2.27,-0.07,0.09
40,SBIN,State Bank of India,BANKS,6348802220,58461.17,6.3,1.13,0.54,2.06,-0.05,0.06
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,12094.94,1.3,1.38,0.54,2.77,-0.23,0.08
42,STER,Sterlite Industries (India) Ltd.,METALS,1680783722,26679.73,0.58,1.46,0.5,3.35,-1,0.08
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,12506.17,0.67,0.33,0.05,1.53,0.29,0.08
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3113479486,4108.88,0.09,1.54,0.33,3.08,-0.92,0.09
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,37632.39,0.41,0.76,0.25,2.02,-0.12,0.07
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064816780,24089.62,2.6,1.45,0.4,3.46,-0.63,0.07
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,20979.93,2.26,0.78,0.33,1.7,-0.25,0.08
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,8873890170,30517.69,3.29,1.67,0.55,2.79,-0.97,0.07
49,UNITECH,Unitech Ltd.,CONSTRUCTION,4877602094,9738.88,0.21,1.88,0.52,3.4,-0.69,0.09
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,2936690224,20117.85,0.43,0.75,0.31,2.12,0.01,0.07
,,,Total,,1469955.42,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2010 to 31-May-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2010 to 31-May-2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-May-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
