CNX NIFTY JUNIOR INDEX : May 2010,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2010
25,IDBI,IDBI Bank Ltd.,BANKS,7248119150,3904.02,1.36,1.49,0.6,2.16,-0.46,0.08
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3448.24,1.2,1.54,0.51,2.41,0.16,0.1
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803108478,5171.98,1.81,1.68,0.48,3.4,-0.3,0.11
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,5340.56,1.87,1.07,0.34,2.59,-0.13,0.12
29,IOB,Indian Overseas Bank ,BANKS,5448000000,1922.98,0.67,0.98,0.4,1.58,-0.24,0.08
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,11398.85,3.98,1.7,0.55,3.67,-0.42,0.1
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,5659.94,1.98,1.22,0.43,2.84,-0.04,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,889593990,8746.76,3.06,0.33,0.06,1.59,0.42,0.09
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1364.62,0.48,1.03,0.3,2.12,-0.52,0.11
34,MPHASIS,Mphasis Ltd.,COMPUTERS - SOFTWARE,2097066980,3689.76,1.29,0.62,0.14,2.21,-0.8,0.11
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,5533.78,1.93,0.88,0.32,3.16,-0.23,0.12
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419305535,3376.15,1.18,0.78,0.29,1.46,-0.23,0.1
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,258795562,2564.33,0.9,0.96,0.22,2.8,0.18,0.1
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,3474.92,1.21,0.91,0.37,2.18,0.48,0.12
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,2494.99,0.87,1.43,0.48,3.51,-1.45,0.09
40,RNRL,Reliance Natural Resources Ltd.,GAS,8165652110,3864.61,1.35,1.22,0.25,7.58,-1.08,0.13
41,SESAGOA,Sesa Goa Ltd.,MINING,858152746,14083.64,4.92,1.36,0.39,4.55,-0.45,0.09
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,1610,0.56,1.15,0.56,1.94,-0.05,0.12
43,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,18971968540,830.56,0.29,1,0.38,1.82,-0.78,0.15
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1229732890,1967.8,0.69,1.26,0.33,2.33,-0.9,0.1
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,5473.09,1.91,0.95,0.23,2.81,0.34,0.14
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,1244870790,5188.89,1.81,0.62,0.2,1.7,-0.24,0.14
47,UNIONBANK,Union Bank of India,BANKS,5051179000,6598.21,2.31,0.66,0.23,2.15,-0.26,0.11
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,879127136,5768.4,2.02,1,0.3,2.78,0.36,0.12
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,10466.06,3.66,1.12,0.39,2.48,-0.1,0.1
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,484483733,8015.43,2.8,0.66,0.14,2.66,-0.31,0.11
,,,Total,,286227.66,,,,,,0.11

* Beta & R2 are calculated for the period 01-Jun-2009 to 31-May-2010,,,,,,,,,,,

* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,

* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,

* Volatility is the Std. deviation of the daily returns for the period 01-May-2010 to 31-May-2010

* Last day of trading was 31-May-2010

* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 lakhs  

* Impact Cost for CNX Nifty Junior is the weightage average impact cost
