CNX NIFTY JUNIOR INDEX : April 2010,,,,,,,,,,,

Sr.no.,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2010,Weightage,Beta,R2,Volatility,Monthly return,Avg. Impact Cost for April 2010
15,CORPBANK,Corporation Bank,BANKS,1434400000,3341.10,1.12,0.72,0.32,2.44,13.16,0.11
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,6414915360,9985.73,3.35,0.97,0.40,1.95,0.98,0.10
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,1980000000,5555.83,1.86,0.75,0.31,2.27,11.56,0.13
18,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,1688453850,15787.39,5.30,0.41,0.13,1.79,-1.18,0.09
19,FEDERALBNK,Federal Bank Ltd.,BANKS,342423068,5003.66,1.68,0.79,0.39,1.55,9.52,0.11
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,7993.36,2.68,0.12,0.03,0.94,7.59,0.14
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,2698409530,3756.87,1.26,0.92,0.29,1.37,0.48,0.10
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,38924347820,6593.27,2.21,1.26,0.10,2.76,6.46,0.10
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5221.46,1.75,0.56,0.15,1.84,-0.99,0.08
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,3458426760,4824.60,1.62,1.87,0.63,1.90,-5.67,0.07
25,IDBI,IDBI Bank Ltd.,BANKS,7248119150,4323.86,1.45,1.42,0.61,2.01,9.61,0.07
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3397.67,1.14,1.73,0.61,1.89,6.42,0.08
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,4015392390,5676.26,1.90,1.66,0.54,2.71,11.27,0.09
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,1446945574,5519.00,1.85,1.02,0.37,1.54,5.87,0.09
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2027.52,0.68,1.13,0.52,2.13,4.40,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,1870486820,12625.75,4.24,1.47,0.52,2.08,-0.58,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,5758.74,1.93,1.00,0.38,1.98,9.68,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,889438330,8016.42,2.69,0.30,0.07,1.17,4.85,0.08
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17529023270,1532.02,0.51,1.02,0.33,1.73,0.33,0.10
34,MPHASIS,Mphasis Ltd.,COMPUTERS - SOFTWARE,2096778410,5615.41,1.88,0.65,0.17,1.53,9.72,0.08
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,2003394100,5613.38,1.88,0.81,0.34,1.54,-6.41,0.07
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,838548570,3541.10,1.19,0.76,0.31,0.62,-5.77,0.08
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,1293383830,3713.61,1.25,0.79,0.17,1.51,0.47,0.09
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,2295533400,3156.41,1.06,0.95,0.45,1.88,4.14,0.09
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664172590,3438.79,1.15,1.54,0.61,1.39,-6.71,0.07
40,RNRL,Reliance Natural Resources Ltd.,GAS,8165652110,5162.65,1.73,1.26,0.45,1.90,12.45,0.08
41,SESAGOA,Sesa Goa Ltd.,MINING,8309618020,15157.80,5.09,1.17,0.40,1.82,-8.82,0.05
42,SYNDIBANK,Syndicate Bank,BANKS,5219682820,1631.87,0.55,1.07,0.58,1.57,8.24,0.10
43,TTML,Tata Teleservices (Maharashtra) Ltd.,TELECOMMUNICATION - SERVICES,9485984270,982.72,0.33,1.00,0.41,0.97,-1.69,0.13
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1223201140,1596.37,0.54,1.05,0.28,1.13,-9.25,0.06
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,6774.80,2.27,0.90,0.26,2.14,5.12,0.14
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,1244870790,5475.93,1.84,0.67,0.27,1.73,-15.77,0.13
47,UNIONBANK,Union Bank of India,BANKS,5051179000,7001.17,2.35,0.72,0.31,1.23,6.40,0.08
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,879127136,5388.13,1.81,1.00,0.36,3.59,14.08,0.11
49,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1255943290,10752.51,3.61,1.09,0.43,2.10,-4.84,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,4340071110,7721.24,2.59,0.71,0.19,1.83,13.36,0.07
,,,Total,,298063.83,100.00,,,,,0.09

* Beta & R2 are calculated for the period 01-May-2009 to 30-April-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect on the market as a whole.,,,,,,,,,,,
  ,,,,,,,,,,,
"* The coefficient of determination (R2) measures the strength of relationship between two variables, ",,,,,,,,,,,
the return on  a security versus that of the market.,,,,,,,,,,,
   ,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-April-2010 to 30-April-2010,
,
* Last day of trading was 30-April-2010,
,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 lakhs  ,
,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,
