Annexure II- S&P CNX Nifty Index : April 2010,,,,,,,,,,,

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2010
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1204390816,97257.57,6.36,1.25,0.71,1.21,-0.97,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,5784344780,22097.12,1.44,1.27,0.55,1.61,-2.81,0.07
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16929.36,1.11,0.73,0.32,1.43,-9.75,0.06
29,NTPC,NTPC Ltd.,POWER,82454644000,17970.33,1.18,0.59,0.41,0.92,0.14,0.05
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,35578.42,2.33,0.8,0.42,1.19,-4.00,0.07
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,6316.15,0.41,0.78,0.52,1.57,2.71,0.07
32,PNB,Punjab National Bank,BANKS,3153025000,13831.70,0.90,0.83,0.49,1.08,2.64,0.07
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2102616230,6725.53,0.44,0.82,0.25,1.34,-6.75,0.06
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,8445.96,0.55,1.54,0.61,1.26,-2.22,0.05
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,10982.47,0.72,1.35,0.55,1.33,-3.65,0.06
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32866583600,174808.48,11.43,1.13,0.67,1.79,-3.78,0.06
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2252702620,15951.07,1.04,1.39,0.61,1.78,13.85,0.06
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,5940.77,0.39,1.01,0.49,1.71,8.97,0.07
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,3371602000,10758.18,0.70,1.14,0.58,1.4,-3.82,0.07
40,SBIN,State Bank of India,BANKS,6348802220,59282.86,3.88,1.15,0.62,1.78,10.71,0.04
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,12786.08,0.84,1.29,0.59,2.36,-13.56,0.06
42,STER,Sterlite Industries (India) Ltd.,METALS,4201959305,33398.64,2.18,1.36,0.52,2.01,-2.55,0.05
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,11808.27,0.77,0.66,0.21,1.87,-12.32,0.06
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,15567317430,5036.51,0.33,1.43,0.41,1.48,-4.04,0.06
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,38462.31,2.52,0.82,0.37,1.21,-1.95,0.05
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064816780,25009.49,1.64,1.09,0.32,2.22,15.16,0.05
47,TATAPOWER,Tata Power Co. Ltd.,POWER,23730723600,22216.27,1.45,0.73,0.41,1.25,-1.14,0.06
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,8873890170,37792.42,2.47,1.37,0.50,1.96,-2.09,0.05
49,UNITECH,Unitech Ltd.,CONSTRUCTION,23888010470,11402.25,0.75,1.73,0.56,2.31,15.49,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,14681320670,20028.94,1.31,0.73,0.35,1.28,-5.01,0.06
,,,Total,,1529253.40,100.00,,,,,0.06

* Beta & R2 are calculated for the period 01-May-2009 to 30-April-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-April- 2010 to 30-April- 2010,,,
,,,
* Last day of trading was 30-April-2010,,,
,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,
,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,
