Annexure II-  CNX Nifty Jr. Index : Dec. 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2011
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,1476.8486,0.596632928,1.765542173,0.510805278,4.290058026,-5.206073753,0.14
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33063113060,6544.8302,2.644049771,0.619328033,0.116319352,2.992257776,-15.97753956,0.09
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,2741.4514,1.107520551,0.931179505,0.328573941,1.936016394,-8.808724832,0.14
29,IOB,Indian Overseas Bank ,BANKS,6187493430,1549.1534,0.625843386,1.140176887,0.448889714,1.995646071,-20.91644205,0.11
30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4667204820,7792.5684,3.148124254,1.349882317,0.520099188,2.775422699,-9.278971681,0.16
31,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,5375.8036,2.171774033,1.824312821,0.501796274,3.563754145,-14.49043244,0.09
32,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6667.5194,2.693615052,1.285241201,0.391480598,1.843316896,-0.917636526,0.1
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893173054,10611.6804,4.287018956,0.723906277,0.222278579,2.081952244,-5.586592179,0.12
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100358200,2205.4002,0.890960913,0.981722981,0.148730908,1.924095166,-7.40455665,0.11
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,SHIPPING,4006788200,5412.5242,2.186608809,0.983713556,0.220384594,2.289669625,-4.532803181,0.16
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419686010,3056.4119,1.234761627,0.660450328,0.208581643,1.445104406,-8.57881137,0.14
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,4792.0109,1.935927279,1.38204188,0.368332042,3.790452094,-14.64318814,0.1
38,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,2647.2901,1.069480272,1.679467024,0.418825726,3.046124713,-16.57791977,0.09
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5040.7274,2.036406403,1.532061586,0.472325808,3.276752118,-16.14398691,0.13
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,5575.4466,2.252427925,0.848536508,0.182808029,2.701360106,-15.82158216,0.14
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5488.153,2.217162132,0.832257085,0.382391246,1.401916814,-9.680681982,0.11
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1273073060,2119.3718,0.85620625,1.083249005,0.314573879,1.670019997,1.476961174,0.14
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,7077.3124,2.859167566,1.103453403,0.295252629,2.956359316,-3.743315508,0.1
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3333.7656,1.34680991,0.699642465,0.187784887,1.033363958,-1.524237881,0.25
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740580000,11397.3802,4.604434277,0.687708112,0.261071205,1.710229846,1.549577784,0.12
46,UNIONBANK,Union Bank of India,BANKS,5243324150,3823.628,1.544709707,1.277789378,0.418226799,3.12277456,-19.76854039,0.13
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4304.4462,1.738955732,0.987348509,0.269702066,1.790419422,-7.67551837,0.13
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,4337.9605,1.752495193,1.261661307,0.315249254,2.499236813,-29.69341814,0.13
49,YESBANK,Yes Bank Ltd.,BANKS,3517623190,5793.2273,2.340409277,1.643925632,0.58946434,2.519342276,-12.27038942,0.09
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,964105209,6440.5156,2.601907655,0.640184741,0.163430103,1.082796734,-5.493183641,0.13
,,,,,247530.522,,,,,,0.13
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2011 to 30-Dec-2011,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2011 to 30-Dec-2011,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Dec-2011,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
