Annexure II- S&P CNX Nifty Index : Aug 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Aug. 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug. 2010
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4249269266,12517,0.8,1.7,0.52,1.81,-0.35,0.07
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,26569,1.7,1.23,0.41,1.55,0.44,0.07
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3489861600,14345,0.92,1.25,0.46,1.5,0.34,0.07
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1206334244,95899,6.13,0.92,0.45,1.06,0.05,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2892172390,26713,1.71,1.21,0.37,1.11,-0.24,0.06
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16636,1.06,0.66,0.14,0.87,0.22,0.06
29,NTPC,NTPC Ltd.,POWER,82454644000,25044,1.6,0.62,0.31,0.86,-0.06,0.05
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,21388725300,45111,2.88,0.57,0.16,1.32,0.35,0.07
31,POWERGRID,Power Grid Corporation of India Ltd.,POWER,42088412300,6244,0.4,0.5,0.18,1.57,0.38,0.07
32,PNB,Punjab National Bank,BANKS,3153025000,15705,1,0.77,0.34,1.52,0.46,0.06
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2103770785,7457,0.48,0.88,0.25,1.37,0.41,0.06
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,8566,0.55,1.36,0.46,1.32,-0.14,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,10396,0.66,1.15,0.21,1.6,-0.6,0.07
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,32870418690,155482,9.93,1.15,0.52,0.96,-0.42,0.04
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,2448702620,14051,0.9,1.27,0.41,1.44,-0.45,0.07
38,RPOWER,Reliance Power Ltd.,POWER,23968000000,5556,0.35,1.06,0.35,1.03,-0.32,0.07
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,674320400,10467,0.67,1.1,0.4,0.87,-0.04,0.06
40,SBIN,State Bank of India,BANKS,6348835090,71284,4.55,1.13,0.45,1.97,0.47,0.05
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,10935,0.7,1.41,0.5,0.89,-0.4,0.06
42,STER,Sterlite Industries (India) Ltd.,METALS,3361567444,23961,1.53,1.72,0.55,1.66,-0.65,0.07
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,13245,0.85,0.4,0.07,1.08,-0.01,0.06
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,3490746130,3788,0.24,1.18,0.22,2.04,-0.88,0.08
45,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,42732,2.73,0.8,0.26,1.42,0.03,0.06
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5064818640,32230,2.06,1.5,0.38,2.07,0.83,0.06
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,19782,1.26,0.72,0.29,0.81,-0.35,0.05
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,8873890170,31854,2.03,1.73,0.58,1.61,-0.11,0.06
49,UNITECH,Unitech Ltd.,CONSTRUCTION,5035715656,10434,0.67,1.86,0.49,2.33,-0.18,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4898080190,20083,1.28,0.86,0.29,1.44,-0.12,0.07
,,,,Total,1565626,,,,,,0.6
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2009 to 31-Aug-2010.,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
"* The coefficient of determination (R2) measures the strength of relationship between two variables the return on a security versus
that of the market.",,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2010 to 31-Aug-2010.,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Aug-2010.,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost.,,,,,,,,,,,
,,,,,,,,,,,
* FF MCAP = Free- Float market capitalization.,,,,,,,,,,,
