Annexure II- CNX Nifty Jr. Index : October 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
33,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,8964,1.82,1.03,0.26,1.71,4.46,0.05
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5984,1.22,0.74,0.09,2.17,6.09,0.08
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,10139,2.06,2.21,0.33,2.65,20.35,0.09
36,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2120066695,9828,2.00,0.58,0.04,1.99,-0.99,0.07
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12011565390,10647,2.17,1.58,0.31,2.48,7.22,0.08
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,10247,2.09,1.86,0.31,2.46,20.82,0.08
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5351,1.09,1.94,0.39,2.23,4.33,0.06
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,5358,1.09,1.74,0.42,1.81,8.61,0.08
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,6866,1.40,1.35,0.23,1.65,19.40,0.08
42,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,7774,1.58,1.78,0.41,2.12,5.57,0.08
43,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15945,3.24,1.46,0.26,2.44,1.94,0.09
44,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,7146,1.45,1.00,0.22,1.36,1.88,0.08
45,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6425,1.31,1.03,0.24,1.05,0.47,0.07
46,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,16400,3.34,0.71,0.10,2.31,-3.54,0.08
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4649,0.95,0.74,0.12,2.74,-1.95,0.08
48,UNIONBANK,Union Bank of India,BANKS,6357788360,5719,1.16,2.27,0.36,2.09,19.49,0.08
49,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,10487,2.13,0.93,0.09,2.28,2.50,0.07
50,YESBANK,Yes Bank Ltd.,BANKS,4161015230,22154,4.51,1.85,0.41,1.75,22.48,0.06
,,,,,491436,,,,,,
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2013 to 31-Oct-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2014 to 31-Oct-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
